"season","player_id","player_name","team_id","team_name","shot_zone_basic","shots_attempted","shots_made","percentage","team_average","league_average"
"2013-2014","202335","Patrick Patterson","1610612758","Sacramento Kings","Above the Break 3","27","7","25.93","32.44","35.28"
"2013-2014","202335","Patrick Patterson","1610612758","Sacramento Kings","In The Paint (Non-RA)","20","10","50.00","38.25","39.32"
"2013-2014","202335","Patrick Patterson","1610612758","Sacramento Kings","Left Corner 3","4","1","25.00","37.87","39.13"
"2013-2014","202335","Patrick Patterson","1610612758","Sacramento Kings","Mid-Range","31","10","32.26","38.96","39.46"
"2013-2014","202335","Patrick Patterson","1610612758","Sacramento Kings","Restricted Area","32","21","65.63","62.09","60.83"
"2013-2014","202335","Patrick Patterson","1610612758","Sacramento Kings","Right Corner 3","8","1","12.50","35.97","38.92"
"2013-2014","202349","Greivis Vasquez","1610612758","Sacramento Kings","Above the Break 3","44","15","34.09","32.44","35.28"
"2013-2014","202349","Greivis Vasquez","1610612758","Sacramento Kings","Backcourt","2","0","0.00","12.50","3.60"
"2013-2014","202349","Greivis Vasquez","1610612758","Sacramento Kings","In The Paint (Non-RA)","51","22","43.14","38.25","39.32"
"2013-2014","202349","Greivis Vasquez","1610612758","Sacramento Kings","Mid-Range","33","15","45.45","38.96","39.46"
"2013-2014","202349","Greivis Vasquez","1610612758","Sacramento Kings","Restricted Area","16","12","75.00","62.09","60.83"
"2013-2014","202349","Greivis Vasquez","1610612758","Sacramento Kings","Right Corner 3","4","1","25.00","35.97","38.92"
"2013-2014","202380","Hamady Ndiaye","1610612758","Sacramento Kings","In The Paint (Non-RA)","1","1","100.00","38.25","39.32"
"2013-2014","202380","Hamady Ndiaye","1610612758","Sacramento Kings","Mid-Range","2","0","0.00","38.96","39.46"
"2013-2014","202380","Hamady Ndiaye","1610612758","Sacramento Kings","Restricted Area","6","2","33.33","62.09","60.83"
"2013-2014","202682","Derrick Williams","1610612758","Sacramento Kings","Above the Break 3","57","13","22.81","32.44","35.28"
"2013-2014","202682","Derrick Williams","1610612758","Sacramento Kings","In The Paint (Non-RA)","73","18","24.66","38.25","39.32"
"2013-2014","202682","Derrick Williams","1610612758","Sacramento Kings","Left Corner 3","20","9","45.00","37.87","39.13"
"2013-2014","202682","Derrick Williams","1610612758","Sacramento Kings","Mid-Range","100","34","34.00","38.96","39.46"
"2013-2014","202682","Derrick Williams","1610612758","Sacramento Kings","Restricted Area","171","111","64.91","62.09","60.83"
"2013-2014","202682","Derrick Williams","1610612758","Sacramento Kings","Right Corner 3","7","2","28.57","35.97","38.92"
"2013-2014","202690","Jimmer Fredette","1610612758","Sacramento Kings","Above the Break 3","63","28","44.44","32.44","35.28"
"2013-2014","202690","Jimmer Fredette","1610612758","Sacramento Kings","Backcourt","1","0","0.00","12.50","3.60"
"2013-2014","202690","Jimmer Fredette","1610612758","Sacramento Kings","In The Paint (Non-RA)","34","11","32.35","38.25","39.32"
"2013-2014","202690","Jimmer Fredette","1610612758","Sacramento Kings","Left Corner 3","4","3","75.00","37.87","39.13"
"2013-2014","202690","Jimmer Fredette","1610612758","Sacramento Kings","Mid-Range","66","30","45.45","38.96","39.46"
"2013-2014","202690","Jimmer Fredette","1610612758","Sacramento Kings","Restricted Area","25","17","68.00","62.09","60.83"
"2013-2014","202690","Jimmer Fredette","1610612758","Sacramento Kings","Right Corner 3","5","5","100.00","35.97","38.92"
"2013-2014","202738","Isaiah Thomas","1610612758","Sacramento Kings","Above the Break 3","334","118","35.33","32.44","35.28"
"2013-2014","202738","Isaiah Thomas","1610612758","Sacramento Kings","In The Paint (Non-RA)","225","95","42.22","38.25","39.32"
"2013-2014","202738","Isaiah Thomas","1610612758","Sacramento Kings","Left Corner 3","18","7","38.89","37.87","39.13"
"2013-2014","202738","Isaiah Thomas","1610612758","Sacramento Kings","Mid-Range","257","118","45.91","38.96","39.46"
"2013-2014","202738","Isaiah Thomas","1610612758","Sacramento Kings","Restricted Area","250","156","62.40","62.09","60.83"
"2013-2014","202738","Isaiah Thomas","1610612758","Sacramento Kings","Right Corner 3","12","2","16.67","35.97","38.92"
"2013-2014","203091","Royce White","1610612758","Sacramento Kings","Mid-Range","1","0","0.00","38.96","39.46"
"2013-2014","203099","Jared Cunningham","1610612758","Sacramento Kings","Above the Break 3","5","1","20.00","32.44","35.28"
"2013-2014","203099","Jared Cunningham","1610612758","Sacramento Kings","In The Paint (Non-RA)","3","1","33.33","38.25","39.32"
"2013-2014","203099","Jared Cunningham","1610612758","Sacramento Kings","Left Corner 3","1","0","0.00","37.87","39.13"
"2013-2014","203099","Jared Cunningham","1610612758","Sacramento Kings","Mid-Range","5","1","20.00","38.96","39.46"
"2013-2014","203099","Jared Cunningham","1610612758","Sacramento Kings","Restricted Area","5","2","40.00","62.09","60.83"
"2013-2014","203111","Orlando Johnson","1610612758","Sacramento Kings","Above the Break 3","5","1","20.00","32.44","35.28"
"2013-2014","203111","Orlando Johnson","1610612758","Sacramento Kings","In The Paint (Non-RA)","3","0","0.00","38.25","39.32"
"2013-2014","203111","Orlando Johnson","1610612758","Sacramento Kings","Mid-Range","4","1","25.00","38.96","39.46"
"2013-2014","203111","Orlando Johnson","1610612758","Sacramento Kings","Restricted Area","4","1","25.00","62.09","60.83"
"2013-2014","203111","Orlando Johnson","1610612758","Sacramento Kings","Right Corner 3","1","0","0.00","35.97","38.92"
"2013-2014","203112","Quincy Acy","1610612758","Sacramento Kings","Above the Break 3","2","0","0.00","32.44","35.28"
"2013-2014","203112","Quincy Acy","1610612758","Sacramento Kings","In The Paint (Non-RA)","19","4","21.05","38.25","39.32"
"2013-2014","203112","Quincy Acy","1610612758","Sacramento Kings","Left Corner 3","6","1","16.67","37.87","39.13"
"2013-2014","203112","Quincy Acy","1610612758","Sacramento Kings","Mid-Range","27","11","40.74","38.96","39.46"
"2013-2014","203112","Quincy Acy","1610612758","Sacramento Kings","Restricted Area","71","43","60.56","62.09","60.83"
"2013-2014","203112","Quincy Acy","1610612758","Sacramento Kings","Right Corner 3","2","1","50.00","35.97","38.92"
"2013-2014","203463","Ben McLemore","1610612758","Sacramento Kings","Above the Break 3","211","60","28.44","32.44","35.28"
"2013-2014","203463","Ben McLemore","1610612758","Sacramento Kings","Backcourt","5","1","20.00","12.50","3.60"
"2013-2014","203463","Ben McLemore","1610612758","Sacramento Kings","In The Paint (Non-RA)","53","8","15.09","38.25","39.32"
"2013-2014","203463","Ben McLemore","1610612758","Sacramento Kings","Left Corner 3","52","21","40.38","37.87","39.13"
"2013-2014","203463","Ben McLemore","1610612758","Sacramento Kings","Mid-Range","158","54","34.18","38.96","39.46"
"2013-2014","203463","Ben McLemore","1610612758","Sacramento Kings","Restricted Area","171","98","57.31","62.09","60.83"
"2013-2014","203463","Ben McLemore","1610612758","Sacramento Kings","Right Corner 3","29","13","44.83","35.97","38.92"
"2013-2014","203492","Ray McCallum","1610612758","Sacramento Kings","Above the Break 3","36","13","36.11","32.44","35.28"
"2013-2014","203492","Ray McCallum","1610612758","Sacramento Kings","In The Paint (Non-RA)","36","10","27.78","38.25","39.32"
"2013-2014","203492","Ray McCallum","1610612758","Sacramento Kings","Left Corner 3","8","4","50.00","37.87","39.13"
"2013-2014","203492","Ray McCallum","1610612758","Sacramento Kings","Mid-Range","122","36","29.51","38.96","39.46"
"2013-2014","203492","Ray McCallum","1610612758","Sacramento Kings","Restricted Area","83","45","54.22","62.09","60.83"
"2013-2014","203492","Ray McCallum","1610612758","Sacramento Kings","Right Corner 3","15","5","33.33","35.97","38.92"
"2013-2014","2422","John Salmons","1610612758","Sacramento Kings","Above the Break 3","24","8","33.33","32.44","35.28"
"2013-2014","2422","John Salmons","1610612758","Sacramento Kings","In The Paint (Non-RA)","23","5","21.74","38.25","39.32"
"2013-2014","2422","John Salmons","1610612758","Sacramento Kings","Left Corner 3","8","3","37.50","37.87","39.13"
"2013-2014","2422","John Salmons","1610612758","Sacramento Kings","Mid-Range","37","13","35.14","38.96","39.46"
"2013-2014","2422","John Salmons","1610612758","Sacramento Kings","Restricted Area","15","7","46.67","62.09","60.83"
"2013-2014","2422","John Salmons","1610612758","Sacramento Kings","Right Corner 3","10","5","50.00","35.97","38.92"
"2013-2014","2501","Reggie Evans","1610612758","Sacramento Kings","In The Paint (Non-RA)","26","9","34.62","38.25","39.32"
"2013-2014","2501","Reggie Evans","1610612758","Sacramento Kings","Mid-Range","4","0","0.00","38.96","39.46"
"2013-2014","2501","Reggie Evans","1610612758","Sacramento Kings","Restricted Area","61","39","63.93","62.09","60.83"
"2013-2014","2566","Travis Outlaw","1610612758","Sacramento Kings","Above the Break 3","86","30","34.88","32.44","35.28"
"2013-2014","2566","Travis Outlaw","1610612758","Sacramento Kings","In The Paint (Non-RA)","38","16","42.11","38.25","39.32"
"2013-2014","2566","Travis Outlaw","1610612758","Sacramento Kings","Left Corner 3","21","6","28.57","37.87","39.13"
"2013-2014","2566","Travis Outlaw","1610612758","Sacramento Kings","Mid-Range","132","51","38.64","38.96","39.46"
"2013-2014","2566","Travis Outlaw","1610612758","Sacramento Kings","Restricted Area","39","22","56.41","62.09","60.83"
"2013-2014","2566","Travis Outlaw","1610612758","Sacramento Kings","Right Corner 3","10","5","50.00","35.97","38.92"
"2013-2014","1495","Tim Duncan","1610612759","San Antonio Spurs","Above the Break 3","4","0","0.00","39.59","35.28"
"2013-2014","1495","Tim Duncan","1610612759","San Antonio Spurs","Backcourt","1","0","0.00","0.00","3.60"
"2013-2014","1495","Tim Duncan","1610612759","San Antonio Spurs","In The Paint (Non-RA)","224","105","46.88","43.82","39.32"
"2013-2014","1495","Tim Duncan","1610612759","San Antonio Spurs","Mid-Range","354","130","36.72","40.34","39.46"
"2013-2014","1495","Tim Duncan","1610612759","San Antonio Spurs","Restricted Area","323","209","64.71","64.75","60.83"
"2013-2014","1938","Manu Ginobili","1610612759","San Antonio Spurs","Above the Break 3","212","71","33.49","39.59","35.28"
"2013-2014","1938","Manu Ginobili","1610612759","San Antonio Spurs","Backcourt","1","0","0.00","0.00","3.60"
"2013-2014","1938","Manu Ginobili","1610612759","San Antonio Spurs","In The Paint (Non-RA)","63","27","42.86","43.82","39.32"
"2013-2014","1938","Manu Ginobili","1610612759","San Antonio Spurs","Left Corner 3","25","10","40.00","42.27","39.13"
"2013-2014","1938","Manu Ginobili","1610612759","San Antonio Spurs","Mid-Range","99","32","32.32","40.34","39.46"
"2013-2014","1938","Manu Ginobili","1610612759","San Antonio Spurs","Restricted Area","207","145","70.05","64.75","60.83"
"2013-2014","1938","Manu Ginobili","1610612759","San Antonio Spurs","Right Corner 3","20","9","45.00","39.34","38.92"
"2013-2014","200769","Shannon Brown","1610612759","San Antonio Spurs","Above the Break 3","2","0","0.00","39.59","35.28"
"2013-2014","200769","Shannon Brown","1610612759","San Antonio Spurs","In The Paint (Non-RA)","1","0","0.00","43.82","39.32"
"2013-2014","200769","Shannon Brown","1610612759","San Antonio Spurs","Mid-Range","15","3","20.00","40.34","39.46"
"2013-2014","200769","Shannon Brown","1610612759","San Antonio Spurs","Restricted Area","10","5","50.00","64.75","60.83"
"2013-2014","201158","Marco Belinelli","1610612759","San Antonio Spurs","Above the Break 3","204","87","42.65","39.59","35.28"
"2013-2014","201158","Marco Belinelli","1610612759","San Antonio Spurs","Backcourt","3","0","0.00","0.00","3.60"
"2013-2014","201158","Marco Belinelli","1610612759","San Antonio Spurs","In The Paint (Non-RA)","54","24","44.44","43.82","39.32"
"2013-2014","201158","Marco Belinelli","1610612759","San Antonio Spurs","Left Corner 3","47","21","44.68","42.27","39.13"
"2013-2014","201158","Marco Belinelli","1610612759","San Antonio Spurs","Mid-Range","211","92","43.60","40.34","39.46"
"2013-2014","201158","Marco Belinelli","1610612759","San Antonio Spurs","Restricted Area","137","95","69.34","64.75","60.83"
"2013-2014","201158","Marco Belinelli","1610612759","San Antonio Spurs","Right Corner 3","39","18","46.15","39.34","38.92"
"2013-2014","201168","Tiago Splitter","1610612759","San Antonio Spurs","Above the Break 3","1","0","0.00","39.59","35.28"
"2013-2014","201168","Tiago Splitter","1610612759","San Antonio Spurs","Backcourt","1","0","0.00","0.00","3.60"
"2013-2014","201168","Tiago Splitter","1610612759","San Antonio Spurs","In The Paint (Non-RA)","91","31","34.07","43.82","39.32"
"2013-2014","201168","Tiago Splitter","1610612759","San Antonio Spurs","Left Corner 3","1","0","0.00","42.27","39.13"
"2013-2014","201168","Tiago Splitter","1610612759","San Antonio Spurs","Mid-Range","15","6","40.00","40.34","39.46"
"2013-2014","201168","Tiago Splitter","1610612759","San Antonio Spurs","Restricted Area","237","144","60.76","64.75","60.83"
"2013-2014","201785","Othyus Jeffers","1610612759","San Antonio Spurs","Mid-Range","1","0","0.00","40.34","39.46"
"2013-2014","201785","Othyus Jeffers","1610612759","San Antonio Spurs","Restricted Area","3","3","100.00","64.75","60.83"
"2013-2014","201785","Othyus Jeffers","1610612759","San Antonio Spurs","Right Corner 3","1","0","0.00","39.34","38.92"
"2013-2014","201948","Austin Daye","1610612759","San Antonio Spurs","Above the Break 3","26","12","46.15","39.59","35.28"
"2013-2014","201948","Austin Daye","1610612759","San Antonio Spurs","In The Paint (Non-RA)","5","1","20.00","43.82","39.32"
"2013-2014","201948","Austin Daye","1610612759","San Antonio Spurs","Mid-Range","15","5","33.33","40.34","39.46"
"2013-2014","201948","Austin Daye","1610612759","San Antonio Spurs","Restricted Area","6","3","50.00","64.75","60.83"
"2013-2014","201948","Austin Daye","1610612759","San Antonio Spurs","Right Corner 3","3","0","0.00","39.34","38.92"
"2013-2014","201965","Jeff Ayres","1610612759","San Antonio Spurs","In The Paint (Non-RA)","19","6","31.58","43.82","39.32"
"2013-2014","201965","Jeff Ayres","1610612759","San Antonio Spurs","Mid-Range","35","11","31.43","40.34","39.46"
"2013-2014","201965","Jeff Ayres","1610612759","San Antonio Spurs","Restricted Area","120","84","70.00","64.75","60.83"
"2013-2014","201980","Danny Green","1610612759","San Antonio Spurs","Above the Break 3","207","93","44.93","39.59","35.28"
"2013-2014","201980","Danny Green","1610612759","San Antonio Spurs","Backcourt","1","0","0.00","0.00","3.60"
"2013-2014","201980","Danny Green","1610612759","San Antonio Spurs","In The Paint (Non-RA)","41","18","43.90","43.82","39.32"
"2013-2014","201980","Danny Green","1610612759","San Antonio Spurs","Left Corner 3","64","23","35.94","42.27","39.13"
"2013-2014","201980","Danny Green","1610612759","San Antonio Spurs","Mid-Range","78","23","29.49","40.34","39.46"
"2013-2014","201980","Danny Green","1610612759","San Antonio Spurs","Restricted Area","68","45","66.18","64.75","60.83"
"2013-2014","201980","Danny Green","1610612759","San Antonio Spurs","Right Corner 3","46","16","34.78","39.34","38.92"
"2013-2014","201986","Nando De Colo","1610612759","San Antonio Spurs","Above the Break 3","24","6","25.00","39.59","35.28"
"2013-2014","201986","Nando De Colo","1610612759","San Antonio Spurs","In The Paint (Non-RA)","5","3","60.00","43.82","39.32"
"2013-2014","201986","Nando De Colo","1610612759","San Antonio Spurs","Left Corner 3","2","1","50.00","42.27","39.13"
"2013-2014","201986","Nando De Colo","1610612759","San Antonio Spurs","Mid-Range","23","9","39.13","40.34","39.46"
"2013-2014","201986","Nando De Colo","1610612759","San Antonio Spurs","Restricted Area","34","20","58.82","64.75","60.83"
"2013-2014","201986","Nando De Colo","1610612759","San Antonio Spurs","Right Corner 3","5","3","60.00","39.34","38.92"
"2013-2014","201988","Patty Mills","1610612759","San Antonio Spurs","Above the Break 3","221","90","40.72","39.59","35.28"
"2013-2014","201988","Patty Mills","1610612759","San Antonio Spurs","Backcourt","1","0","0.00","0.00","3.60"
"2013-2014","201988","Patty Mills","1610612759","San Antonio Spurs","In The Paint (Non-RA)","39","15","38.46","43.82","39.32"
"2013-2014","201988","Patty Mills","1610612759","San Antonio Spurs","Left Corner 3","49","26","53.06","42.27","39.13"
"2013-2014","201988","Patty Mills","1610612759","San Antonio Spurs","Mid-Range","207","88","42.51","40.34","39.46"
"2013-2014","201988","Patty Mills","1610612759","San Antonio Spurs","Restricted Area","102","71","69.61","64.75","60.83"
"2013-2014","201988","Patty Mills","1610612759","San Antonio Spurs","Right Corner 3","47","19","40.43","39.34","38.92"
"2013-2014","202345","Damion James","1610612759","San Antonio Spurs","Mid-Range","5","1","20.00","40.34","39.46"
"2013-2014","202345","Damion James","1610612759","San Antonio Spurs","Restricted Area","2","1","50.00","64.75","60.83"
"2013-2014","202345","Damion James","1610612759","San Antonio Spurs","Right Corner 3","2","0","0.00","39.34","38.92"
"2013-2014","202695","Kawhi Leonard","1610612759","San Antonio Spurs","Above the Break 3","102","39","38.24","39.59","35.28"
"2013-2014","202695","Kawhi Leonard","1610612759","San Antonio Spurs","In The Paint (Non-RA)","72","40","55.56","43.82","39.32"
"2013-2014","202695","Kawhi Leonard","1610612759","San Antonio Spurs","Left Corner 3","46","17","36.96","42.27","39.13"
"2013-2014","202695","Kawhi Leonard","1610612759","San Antonio Spurs","Mid-Range","174","79","45.40","40.34","39.46"
"2013-2014","202695","Kawhi Leonard","1610612759","San Antonio Spurs","Restricted Area","217","149","68.66","64.75","60.83"
"2013-2014","202695","Kawhi Leonard","1610612759","San Antonio Spurs","Right Corner 3","34","13","38.24","39.34","38.92"
"2013-2014","202709","Cory Joseph","1610612759","San Antonio Spurs","Above the Break 3","13","3","23.08","39.59","35.28"
"2013-2014","202709","Cory Joseph","1610612759","San Antonio Spurs","Backcourt","1","0","0.00","0.00","3.60"
"2013-2014","202709","Cory Joseph","1610612759","San Antonio Spurs","In The Paint (Non-RA)","42","16","38.10","43.82","39.32"
"2013-2014","202709","Cory Joseph","1610612759","San Antonio Spurs","Left Corner 3","16","7","43.75","42.27","39.13"
"2013-2014","202709","Cory Joseph","1610612759","San Antonio Spurs","Mid-Range","97","43","44.33","40.34","39.46"
"2013-2014","202709","Cory Joseph","1610612759","San Antonio Spurs","Restricted Area","88","55","62.50","64.75","60.83"
"2013-2014","202709","Cory Joseph","1610612759","San Antonio Spurs","Right Corner 3","8","2","25.00","39.34","38.92"
"2013-2014","202952","Malcolm Thomas","1610612759","San Antonio Spurs","Mid-Range","2","0","0.00","40.34","39.46"
"2013-2014","202952","Malcolm Thomas","1610612759","San Antonio Spurs","Restricted Area","2","1","50.00","64.75","60.83"
"2013-2014","203382","Aron Baynes","1610612759","San Antonio Spurs","In The Paint (Non-RA)","39","13","33.33","43.82","39.32"
"2013-2014","203382","Aron Baynes","1610612759","San Antonio Spurs","Mid-Range","37","11","29.73","40.34","39.46"
"2013-2014","203382","Aron Baynes","1610612759","San Antonio Spurs","Restricted Area","87","47","54.02","64.75","60.83"
"2013-2014","2225","Tony Parker","1610612759","San Antonio Spurs","Above the Break 3","27","9","33.33","39.59","35.28"
"2013-2014","2225","Tony Parker","1610612759","San Antonio Spurs","In The Paint (Non-RA)","168","74","44.05","43.82","39.32"
"2013-2014","2225","Tony Parker","1610612759","San Antonio Spurs","Left Corner 3","25","11","44.00","42.27","39.13"
"2013-2014","2225","Tony Parker","1610612759","San Antonio Spurs","Mid-Range","330","148","44.85","40.34","39.46"
"2013-2014","2225","Tony Parker","1610612759","San Antonio Spurs","Restricted Area","349","209","59.89","64.75","60.83"
"2013-2014","2225","Tony Parker","1610612759","San Antonio Spurs","Right Corner 3","15","5","33.33","39.34","38.92"
"2013-2014","2564","Boris Diaw","1610612759","San Antonio Spurs","Above the Break 3","89","38","42.70","39.59","35.28"
"2013-2014","2564","Boris Diaw","1610612759","San Antonio Spurs","Backcourt","2","0","0.00","0.00","3.60"
"2013-2014","2564","Boris Diaw","1610612759","San Antonio Spurs","In The Paint (Non-RA)","131","63","48.09","43.82","39.32"
"2013-2014","2564","Boris Diaw","1610612759","San Antonio Spurs","Left Corner 3","10","4","40.00","42.27","39.13"
"2013-2014","2564","Boris Diaw","1610612759","San Antonio Spurs","Mid-Range","124","52","41.94","40.34","39.46"
"2013-2014","2564","Boris Diaw","1610612759","San Antonio Spurs","Restricted Area","213","142","66.67","64.75","60.83"
"2013-2014","2564","Boris Diaw","1610612759","San Antonio Spurs","Right Corner 3","11","3","27.27","39.34","38.92"
"2013-2014","2588","Matt Bonner","1610612759","San Antonio Spurs","Above the Break 3","78","31","39.74","39.59","35.28"
"2013-2014","2588","Matt Bonner","1610612759","San Antonio Spurs","In The Paint (Non-RA)","33","14","42.42","43.82","39.32"
"2013-2014","2588","Matt Bonner","1610612759","San Antonio Spurs","Left Corner 3","6","3","50.00","42.27","39.13"
"2013-2014","2588","Matt Bonner","1610612759","San Antonio Spurs","Mid-Range","25","12","48.00","40.34","39.46"
"2013-2014","2588","Matt Bonner","1610612759","San Antonio Spurs","Restricted Area","8","5","62.50","64.75","60.83"
"2013-2014","2588","Matt Bonner","1610612759","San Antonio Spurs","Right Corner 3","13","8","61.54","39.34","38.92"
"2013-2014","101155","Ryan Gomes","1610612760","Oklahoma City Thunder","In The Paint (Non-RA)","1","1","100.00","41.11","39.32"
"2013-2014","101155","Ryan Gomes","1610612760","Oklahoma City Thunder","Left Corner 3","1","0","0.00","34.52","39.13"
"2013-2014","101155","Ryan Gomes","1610612760","Oklahoma City Thunder","Mid-Range","5","2","40.00","42.50","39.46"
"2013-2014","101155","Ryan Gomes","1610612760","Oklahoma City Thunder","Right Corner 3","1","0","0.00","35.90","38.92"
"2013-2014","200757","Thabo Sefolosha","1610612760","Oklahoma City Thunder","Above the Break 3","67","19","28.36","36.87","35.28"
"2013-2014","200757","Thabo Sefolosha","1610612760","Oklahoma City Thunder","In The Paint (Non-RA)","21","5","23.81","41.11","39.32"
"2013-2014","200757","Thabo Sefolosha","1610612760","Oklahoma City Thunder","Left Corner 3","44","16","36.36","34.52","39.13"
"2013-2014","200757","Thabo Sefolosha","1610612760","Oklahoma City Thunder","Mid-Range","54","20","37.04","42.50","39.46"
"2013-2014","200757","Thabo Sefolosha","1610612760","Oklahoma City Thunder","Restricted Area","113","68","60.18","63.42","60.83"
"2013-2014","200757","Thabo Sefolosha","1610612760","Oklahoma City Thunder","Right Corner 3","41","13","31.71","35.90","38.92"
"2013-2014","201142","Kevin Durant","1610612760","Oklahoma City Thunder","Above the Break 3","463","181","39.09","36.87","35.28"
"2013-2014","201142","Kevin Durant","1610612760","Oklahoma City Thunder","Backcourt","1","0","0.00","0.00","3.60"
"2013-2014","201142","Kevin Durant","1610612760","Oklahoma City Thunder","In The Paint (Non-RA)","275","111","40.36","41.11","39.32"
"2013-2014","201142","Kevin Durant","1610612760","Oklahoma City Thunder","Left Corner 3","8","4","50.00","34.52","39.13"
"2013-2014","201142","Kevin Durant","1610612760","Oklahoma City Thunder","Mid-Range","509","226","44.40","42.50","39.46"
"2013-2014","201142","Kevin Durant","1610612760","Oklahoma City Thunder","Restricted Area","413","320","77.48","63.42","60.83"
"2013-2014","201142","Kevin Durant","1610612760","Oklahoma City Thunder","Right Corner 3","19","7","36.84","35.90","38.92"
"2013-2014","201203","Mustafa Shakur","1610612760","Oklahoma City Thunder","Above the Break 3","1","0","0.00","36.87","35.28"
"2013-2014","201203","Mustafa Shakur","1610612760","Oklahoma City Thunder","Mid-Range","1","0","0.00","42.50","39.46"
"2013-2014","201203","Mustafa Shakur","1610612760","Oklahoma City Thunder","Restricted Area","1","0","0.00","63.42","60.83"
"2013-2014","201566","Russell Westbrook","1610612760","Oklahoma City Thunder","Above the Break 3","197","62","31.47","36.87","35.28"
"2013-2014","201566","Russell Westbrook","1610612760","Oklahoma City Thunder","Backcourt","1","0","0.00","0.00","3.60"
"2013-2014","201566","Russell Westbrook","1610612760","Oklahoma City Thunder","In The Paint (Non-RA)","69","21","30.43","41.11","39.32"
"2013-2014","201566","Russell Westbrook","1610612760","Oklahoma City Thunder","Left Corner 3","9","3","33.33","34.52","39.13"
"2013-2014","201566","Russell Westbrook","1610612760","Oklahoma City Thunder","Mid-Range","223","97","43.50","42.50","39.46"
"2013-2014","201566","Russell Westbrook","1610612760","Oklahoma City Thunder","Restricted Area","285","160","56.14","63.42","60.83"
"2013-2014","201566","Russell Westbrook","1610612760","Oklahoma City Thunder","Right Corner 3","7","3","42.86","35.90","38.92"
"2013-2014","201586","Serge Ibaka","1610612760","Oklahoma City Thunder","Above the Break 3","11","6","54.55","36.87","35.28"
"2013-2014","201586","Serge Ibaka","1610612760","Oklahoma City Thunder","In The Paint (Non-RA)","130","53","40.77","41.11","39.32"
"2013-2014","201586","Serge Ibaka","1610612760","Oklahoma City Thunder","Left Corner 3","39","14","35.90","34.52","39.13"
"2013-2014","201586","Serge Ibaka","1610612760","Oklahoma City Thunder","Mid-Range","426","200","46.95","42.50","39.46"
"2013-2014","201586","Serge Ibaka","1610612760","Oklahoma City Thunder","Restricted Area","362","248","68.51","63.42","60.83"
"2013-2014","201586","Serge Ibaka","1610612760","Oklahoma City Thunder","Right Corner 3","10","3","30.00","35.90","38.92"
"2013-2014","201934","Hasheem Thabeet","1610612760","Oklahoma City Thunder","In The Paint (Non-RA)","3","2","66.67","41.11","39.32"
"2013-2014","201934","Hasheem Thabeet","1610612760","Oklahoma City Thunder","Mid-Range","9","4","44.44","42.50","39.46"
"2013-2014","201934","Hasheem Thabeet","1610612760","Oklahoma City Thunder","Restricted Area","11","7","63.64","63.42","60.83"
"2013-2014","202130","Reggie Williams","1610612760","Oklahoma City Thunder","Above the Break 3","2","0","0.00","36.87","35.28"
"2013-2014","202130","Reggie Williams","1610612760","Oklahoma City Thunder","In The Paint (Non-RA)","2","1","50.00","41.11","39.32"
"2013-2014","202130","Reggie Williams","1610612760","Oklahoma City Thunder","Left Corner 3","1","1","100.00","34.52","39.13"
"2013-2014","202130","Reggie Williams","1610612760","Oklahoma City Thunder","Mid-Range","3","3","100.00","42.50","39.46"
"2013-2014","202130","Reggie Williams","1610612760","Oklahoma City Thunder","Restricted Area","1","0","0.00","63.42","60.83"
"2013-2014","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","Above the Break 3","203","69","33.99","36.87","35.28"
"2013-2014","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","Backcourt","10","0","0.00","0.00","3.60"
"2013-2014","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","In The Paint (Non-RA)","175","83","47.43","41.11","39.32"
"2013-2014","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","Left Corner 3","16","6","37.50","34.52","39.13"
"2013-2014","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","Mid-Range","202","73","36.14","42.50","39.46"
"2013-2014","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","Restricted Area","293","164","55.97","63.42","60.83"
"2013-2014","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","Right Corner 3","17","8","47.06","35.90","38.92"
"2013-2014","203087","Jeremy Lamb","1610612760","Oklahoma City Thunder","Above the Break 3","176","65","36.93","36.87","35.28"
"2013-2014","203087","Jeremy Lamb","1610612760","Oklahoma City Thunder","Backcourt","3","0","0.00","0.00","3.60"
"2013-2014","203087","Jeremy Lamb","1610612760","Oklahoma City Thunder","In The Paint (Non-RA)","81","31","38.27","41.11","39.32"
"2013-2014","203087","Jeremy Lamb","1610612760","Oklahoma City Thunder","Left Corner 3","44","14","31.82","34.52","39.13"
"2013-2014","203087","Jeremy Lamb","1610612760","Oklahoma City Thunder","Mid-Range","154","63","40.91","42.50","39.46"
"2013-2014","203087","Jeremy Lamb","1610612760","Oklahoma City Thunder","Restricted Area","127","81","63.78","63.42","60.83"
"2013-2014","203087","Jeremy Lamb","1610612760","Oklahoma City Thunder","Right Corner 3","24","9","37.50","35.90","38.92"
"2013-2014","203103","Perry Jones III","1610612760","Oklahoma City Thunder","Above the Break 3","22","6","27.27","36.87","35.28"
"2013-2014","203103","Perry Jones III","1610612760","Oklahoma City Thunder","Backcourt","1","0","0.00","0.00","3.60"
