"season","player_id","player_name","team_id","team_name","shot_zone_basic","shots_attempted","shots_made","percentage","team_average","league_average"
"2010-2011","202376","Luke Harangody","1610612739","Cleveland Cavaliers","Left Corner 3",12,3,25.0,38.76,39.16
"2010-2011","202376","Luke Harangody","1610612739","Cleveland Cavaliers","Mid-Range",44,20,45.45,37.27,40.03
"2010-2011","202376","Luke Harangody","1610612739","Cleveland Cavaliers","Restricted Area",27,15,55.56,58.92,61.99
"2010-2011","202376","Luke Harangody","1610612739","Cleveland Cavaliers","Right Corner 3",9,1,11.11,36.56,39.72
"2010-2011","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","Above the Break 3",1,0,0.0,33.39,34.93
"2010-2011","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","In The Paint (Non-RA)",59,14,23.73,36.32,38.99
"2010-2011","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","Left Corner 3",2,0,0.0,38.76,39.16
"2010-2011","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","Mid-Range",43,15,34.88,37.27,40.03
"2010-2011","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","Restricted Area",136,81,59.56,58.92,61.99
"2010-2011","202412","Manny Harris","1610612739","Cleveland Cavaliers","Above the Break 3",79,30,37.97,33.39,34.93
"2010-2011","202412","Manny Harris","1610612739","Cleveland Cavaliers","In The Paint (Non-RA)",49,12,24.49,36.32,38.99
"2010-2011","202412","Manny Harris","1610612739","Cleveland Cavaliers","Left Corner 3",7,3,42.86,38.76,39.16
"2010-2011","202412","Manny Harris","1610612739","Cleveland Cavaliers","Mid-Range",51,13,25.49,37.27,40.03
"2010-2011","202412","Manny Harris","1610612739","Cleveland Cavaliers","Restricted Area",97,49,50.52,58.92,61.99
"2010-2011","202412","Manny Harris","1610612739","Cleveland Cavaliers","Right Corner 3",6,1,16.67,36.56,39.72
"2010-2011","2590","Mo Williams","1610612739","Cleveland Cavaliers","Above the Break 3",123,31,25.2,33.39,34.93
"2010-2011","2590","Mo Williams","1610612739","Cleveland Cavaliers","Backcourt",2,0,0.0,0.0,2.99
"2010-2011","2590","Mo Williams","1610612739","Cleveland Cavaliers","In The Paint (Non-RA)",76,30,39.47,36.32,38.99
"2010-2011","2590","Mo Williams","1610612739","Cleveland Cavaliers","Left Corner 3",7,3,42.86,38.76,39.16
"2010-2011","2590","Mo Williams","1610612739","Cleveland Cavaliers","Mid-Range",176,74,42.05,37.27,40.03
"2010-2011","2590","Mo Williams","1610612739","Cleveland Cavaliers","Restricted Area",74,38,51.35,58.92,61.99
"2010-2011","2590","Mo Williams","1610612739","Cleveland Cavaliers","Right Corner 3",4,2,50.0,36.56,39.72
"2010-2011","2760","Anderson Varejao","1610612739","Cleveland Cavaliers","Above the Break 3",1,0,0.0,33.39,34.93
"2010-2011","2760","Anderson Varejao","1610612739","Cleveland Cavaliers","In The Paint (Non-RA)",39,15,38.46,36.32,38.99
"2010-2011","2760","Anderson Varejao","1610612739","Cleveland Cavaliers","Mid-Range",36,17,47.22,37.27,40.03
"2010-2011","2760","Anderson Varejao","1610612739","Cleveland Cavaliers","Restricted Area",139,82,58.99,58.92,61.99
"2010-2011","2760","Anderson Varejao","1610612739","Cleveland Cavaliers","Right Corner 3",1,0,0.0,36.56,39.72
"2010-2011","101108","Chris Paul","1610612740","New Orleans Hornets","Above the Break 3",159,61,38.36,35.95,34.93
"2010-2011","101108","Chris Paul","1610612740","New Orleans Hornets","Backcourt",1,0,0.0,15.38,2.99
"2010-2011","101108","Chris Paul","1610612740","New Orleans Hornets","In The Paint (Non-RA)",203,96,47.29,40.0,38.99
"2010-2011","101108","Chris Paul","1610612740","New Orleans Hornets","Left Corner 3",10,4,40.0,34.85,39.16
"2010-2011","101108","Chris Paul","1610612740","New Orleans Hornets","Mid-Range",375,170,45.33,42.45,40.03
"2010-2011","101108","Chris Paul","1610612740","New Orleans Hornets","Restricted Area",167,93,55.69,61.26,61.99
"2010-2011","101108","Chris Paul","1610612740","New Orleans Hornets","Right Corner 3",13,6,46.15,38.83,39.72
"2010-2011","101127","Jarrett Jack","1610612740","New Orleans Hornets","Above the Break 3",53,19,35.85,35.95,34.93
"2010-2011","101127","Jarrett Jack","1610612740","New Orleans Hornets","Backcourt",3,0,0.0,15.38,2.99
"2010-2011","101127","Jarrett Jack","1610612740","New Orleans Hornets","In The Paint (Non-RA)",127,40,31.5,40.0,38.99
"2010-2011","101127","Jarrett Jack","1610612740","New Orleans Hornets","Left Corner 3",16,7,43.75,34.85,39.16
"2010-2011","101127","Jarrett Jack","1610612740","New Orleans Hornets","Mid-Range",213,90,42.25,42.45,40.03
"2010-2011","101127","Jarrett Jack","1610612740","New Orleans Hornets","Restricted Area",91,53,58.24,61.26,61.99
"2010-2011","101127","Jarrett Jack","1610612740","New Orleans Hornets","Right Corner 3",12,3,25.0,38.83,39.72
"2010-2011","200822","Pops Mensah-Bonsu","1610612740","New Orleans Hornets","Restricted Area",3,1,33.33,61.26,61.99
"2010-2011","201158","Marco Belinelli","1610612740","New Orleans Hornets","Above the Break 3",208,85,40.87,35.95,34.93
"2010-2011","201158","Marco Belinelli","1610612740","New Orleans Hornets","Backcourt",2,2,100.0,15.38,2.99
"2010-2011","201158","Marco Belinelli","1610612740","New Orleans Hornets","In The Paint (Non-RA)",40,16,40.0,40.0,38.99
"2010-2011","201158","Marco Belinelli","1610612740","New Orleans Hornets","Left Corner 3",61,25,40.98,34.85,39.16
"2010-2011","201158","Marco Belinelli","1610612740","New Orleans Hornets","Mid-Range",222,94,42.34,42.45,40.03
"2010-2011","201158","Marco Belinelli","1610612740","New Orleans Hornets","Restricted Area",105,58,55.24,61.26,61.99
"2010-2011","201158","Marco Belinelli","1610612740","New Orleans Hornets","Right Corner 3",53,22,41.51,38.83,39.72
"2010-2011","201160","Jason Smith","1610612740","New Orleans Hornets","Above the Break 3",2,0,0.0,35.95,34.93
"2010-2011","201160","Jason Smith","1610612740","New Orleans Hornets","In The Paint (Non-RA)",16,5,31.25,40.0,38.99
"2010-2011","201160","Jason Smith","1610612740","New Orleans Hornets","Mid-Range",224,93,41.52,42.45,40.03
"2010-2011","201160","Jason Smith","1610612740","New Orleans Hornets","Restricted Area",65,38,58.46,61.26,61.99
"2010-2011","201171","Carl Landry","1610612740","New Orleans Hornets","Above the Break 3",1,0,0.0,35.95,34.93
